day;location1;location2;location3;location4;location5;trips1;trips2;trips3;trips4;trips5;meanPassengers1;meanPassengers2;meanPassengers3;meanPassengers4;meanPassengers5;meanFareAmount1;meanFareAmount2;meanFareAmount3;meanFareAmount4;meanFareAmount5;stDevFareAmount1;stDevFareAmount2;stDevFareAmount3;stDevFareAmount4;stDevFareAmount5
2021-12-16;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Midtown East;Manhattan - Times Sq/Theatre District;6369;5902;5070;3839;3692;1.3693;1.3743;1.3803;1.3795;1.5081;9.7709;9.4692;11.9556;11.8118;15.0207;6.1642;5.9429;9.4032;9.5782;13.2561
2021-12-17;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Lincoln Square East;5715;5164;4452;3799;3541;1.389;1.3972;1.4993;1.6165;1.4502;9.6067;9.1045;11.8541;15.96;10.651;6.4061;5.9554;9.1245;14.2215;8.0214
2021-12-18;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Times Sq/Theatre District;Manhattan - Midtown Center;Manhattan - Clinton East;4192;4052;4040;3680;3530;1.4723;1.4504;1.7116;1.6383;1.5666;9.3406;8.852;14.3694;11.7376;12.7657;6.4419;6.9361;12.4708;8.9879;11.6997
2021-12-19;Manhattan - Upper East Side North;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;Manhattan - Upper East Side South;Manhattan - Lincoln Square East;3344;3181;3020;3009;2818;1.4647;1.7089;1.6169;1.443;1.4947;9.3255;14.2217;12.832;8.778;10.2818;6.8825;11.8829;11.8776;6.5682;8.5018
2021-12-20;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Midtown East;4527;4118;3569;2997;2652;1.3861;1.3898;1.4643;1.631;1.4695;9.1312;8.7125;10.4422;13.284;10.6059;5.9558;5.6883;8.1394;12.3593;9.0545
2021-12-21;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Midtown East;4425;4350;3661;2704;2621;1.3792;1.3761;1.4542;1.6664;1.4208;9.082;8.7419;10.3856;12.7876;10.7185;6.124;5.6903;7.7295;11.9243;9.158
2021-12-22;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Murray Hill;4228;4096;3483;2771;2711;1.3907;1.3699;1.4884;1.6463;1.4139;9.0147;8.7103;10.546;12.953;10.4813;6.1656;5.8797;8.0094;11.7368;12.8604
2021-12-23;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Upper West Side South;Manhattan - Times Sq/Theatre District;3969;3763;3178;2657;2554;1.4205;1.4085;1.488;1.4215;1.6699;8.79;8.416;10.4876;9.781;13.744;6.0482;6.2051;8.4455;9.9297;12.3982
2021-12-24;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Upper West Side South;3003;2664;2535;2248;2199;1.4212;1.4373;1.6347;1.7051;1.4493;8.2928;8.0208;10.734;14.4787;9.1806;6.2392;5.623;8.9454;64.3472;7.3568
2021-12-25;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;1585;1481;1200;1198;1187;1.7375;1.5949;1.4942;1.5701;1.7565;14.9089;14.0196;9.4731;8.5376;12.1668;14.3304;14.122;7.7648;7.2155;11.1966
2021-12-26;Manhattan - Clinton East;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;2010;1964;1799;1682;1670;1.6249;1.7755;1.4758;1.5131;1.6778;14.3937;16.8136;10.2107;9.0875;13.6105;13.1446;14.4207;8.4002;6.8121;11.4231
2021-12-27;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side North;Manhattan - Midtown Center;Manhattan - Upper East Side South;Manhattan - Clinton East;2677;2619;2522;2486;2148;1.7426;1.407;1.5987;1.4091;1.5917;13.3793;9.8177;11.0269;8.6909;13.6678;12.6145;8.4713;9.6177;7.1222;13.8447
2021-12-28;Manhattan - Upper East Side North;Manhattan - Midtown Center;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side South;Manhattan - Clinton East;2870;2867;2746;2658;2233;1.4387;1.5971;1.7651;1.4199;1.5298;9.6411;11.3504;13.4394;8.6257;12.9074;7.4531;9.7979;11.944;6.4105;12.0473
2021-12-29;Manhattan - Midtown Center;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;2752;2667;2660;2622;2373;1.6043;1.396;1.4177;1.7033;1.5525;10.916;9.5725;9.037;13.3225;13.2182;9.2256;7.682;7.3845;12.2472;12.5377
2021-12-30;Manhattan - Upper East Side North;Manhattan - Midtown Center;Manhattan - Upper East Side South;Manhattan - Times Sq/Theatre District;Manhattan - Clinton East;2727;2679;2600;2506;2409;1.4305;1.5289;1.4708;1.7015;1.5567;9.5006;11.1974;8.8275;14.2517;12.3947;7.3507;9.7564;7.2114;12.7322;11.4706
2021-12-31;Manhattan - Clinton East;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Upper West Side South;2575;2490;2328;2304;2079;1.5553;1.4406;1.4652;1.5977;1.4622;12.6192;9.2639;8.5151;12.0408;10.8216;11.1321;8.035;6.947;11.6887;11.5461
2022-01-01;Manhattan - Clinton East;Manhattan - Times Sq/Theatre District;Manhattan - East Village;Manhattan - Lenox Hill West;Manhattan - Murray Hill;2288;2028;1855;1748;1740;1.5826;1.7382;1.5623;1.5269;1.573;11.7337;11.9279;10.7903;10.5192;10.2816;11.9809;10.5628;10.1732;8.8963;9.2124
2022-01-02;Manhattan - Upper East Side North;Manhattan - Clinton East;Manhattan - Upper East Side South;Manhattan - Upper West Side South;Manhattan - Times Sq/Theatre District;2075;1873;1696;1690;1648;1.4945;1.5296;1.4469;1.4751;1.6863;10.723;11.8513;10.0879;11.8667;11.6749;10.188;11.7117;10.1066;11.0814;10.9226
2022-01-03;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;3760;3046;2202;2194;2114;1.3633;1.3687;1.4046;1.3788;1.4063;8.9424;8.0789;9.0584;9.8686;10.5097;7.3473;6.1581;7.7972;9.2732;9.7495
2022-01-04;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;4000;3502;2569;2311;2258;1.3867;1.3481;1.3678;1.3579;1.357;8.7965;8.3509;9.1694;9.7169;10.1318;6.2583;6.3018;7.13;8.4031;8.5127
2022-01-05;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Upper West Side South;Manhattan - Lenox Hill West;4007;3580;2663;2289;2284;1.3656;1.3425;1.3725;1.3578;1.3568;8.6919;8.5036;8.9007;10.2591;9.4316;5.7857;6.4;7.2088;8.3247;8.0313
2022-01-06;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;4426;3921;2727;2531;2458;1.3703;1.3583;1.337;1.3678;1.3779;8.709;8.29;9.2781;9.0419;10.0248;5.4779;5.2016;7.299;6.8515;7.8158
2022-01-07;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;Manhattan - Clinton East;3415;2885;2180;2136;2115;1.3763;1.3615;1.3752;1.3965;1.4974;8.3871;8.1094;8.6279;9.4366;11.0288;5.6589;5.6298;6.1323;7.539;10.6843
2022-01-08;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Clinton East;Manhattan - East Village;Manhattan - Lenox Hill West;3226;2773;2658;2610;2526;1.4749;1.4558;1.5071;1.5073;1.464;8.9697;8.4572;10.8912;10.7119;9.3351;6.6391;6.5283;9.8953;8.9022;7.7145
2022-01-09;Manhattan - Upper East Side North;Manhattan - Lenox Hill West;Manhattan - Clinton East;Manhattan - Upper West Side South;Manhattan - Upper East Side South;2469;2009;1960;1922;1892;1.5172;1.4231;1.4602;1.4755;1.4043;9.2894;9.826;10.4131;10.5283;8.6498;7.3458;8.5956;10.1702;9.2149;7.9027
2022-01-10;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Upper West Side South;Manhattan - Lenox Hill West;4326;3583;2489;2347;2263;1.3384;1.3391;1.3286;1.34;1.3416;8.7255;8.1914;9.0512;9.7217;9.1564;5.5979;5.1365;6.9227;7.1283;7.1866
2022-01-11;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;4574;3928;2885;2480;2396;1.3408;1.3136;1.2908;1.3383;1.2997;8.6522;8.4783;9.1176;9.048;9.6965;5.2731;5.6146;6.9457;6.525;6.862
2022-01-12;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;4570;3975;3006;2580;2516;1.3543;1.3497;1.3207;1.3829;1.3315;9.0392;8.4614;9.1252;9.1599;9.5997;5.8239;5.2826;6.3361;6.0811;6.5529
2022-01-13;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Upper West Side South;4667;4168;3077;2618;2594;1.3711;1.345;1.3282;1.3438;1.3562;9.1191;8.3586;9.51;9.8031;9.866;5.5539;4.9914;7.5672;7.7177;6.8816
2022-01-14;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lenox Hill West;Manhattan - Midtown Center;Manhattan - Upper West Side South;4549;3813;2950;2850;2774;1.3774;1.3593;1.3827;1.3621;1.3713;8.9696;8.5402;8.98;9.9909;9.9058;5.5049;5.6312;6.1671;8.2694;7.0686
2022-01-15;Manhattan - Clinton East;Manhattan - Upper East Side North;Manhattan - East Village;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side South;3047;3021;2957;2838;2637;1.4657;1.4012;1.4964;1.6061;1.4115;11.3866;8.9864;9.8884;11.855;8.1273;10.6099;6.7986;6.8463;11.1957;5.665
2022-01-16;Manhattan - Upper East Side North;Manhattan - Clinton East;Manhattan - Lenox Hill West;Manhattan - East Village;Manhattan - Upper West Side South;2519;2486;2241;2180;2135;1.4549;1.4968;1.4984;1.4706;1.4478;9.4682;10.7004;9.0875;10.4271;10.1817;7.2421;11.3045;6.9789;8.893;8.8235
2022-01-17;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;Manhattan - Lincoln Square East;2944;2607;1989;1858;1812;1.3662;1.3851;1.369;1.3741;1.362;9.2604;8.5903;9.9668;10.6459;10.6864;7.5207;7.1513;8.9892;9.6217;12.8931
2022-01-18;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;4770;4167;3137;2706;2585;1.3468;1.311;1.2974;1.3437;1.3455;9.2303;8.728;9.6088;9.8762;10.0818;6.2149;5.6408;6.7899;7.9581;8.4304
2022-01-19;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;4940;4341;3264;2802;2755;1.3672;1.3147;1.3205;1.3437;1.3143;9.0901;8.5194;9.4527;9.2241;9.7153;5.4458;5.4064;7.3281;6.0938;7.7261
2022-01-20;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lenox Hill West;5030;4443;3402;2832;2828;1.3185;1.327;1.3063;1.3475;1.3674;8.9649;8.4912;9.3203;9.1357;9.4403;5.101;5.2215;7.009;6.6603;6.8287
2022-01-21;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lenox Hill West;Manhattan - Midtown Center;Manhattan - Murray Hill;5197;4470;3234;3095;3025;1.3673;1.3277;1.3652;1.3661;1.3425;9.0777;8.5623;9.005;9.3644;9.4235;5.7515;5.6266;5.7304;9.3647;7.0248
2022-01-22;Manhattan - Upper East Side North;Manhattan - East Village;Manhattan - Upper East Side South;Manhattan - Lenox Hill West;Manhattan - Clinton East;3666;3423;3217;3071;3001;1.4307;1.4934;1.4209;1.4253;1.4595;8.9876;10.9295;8.2453;9.1966;10.3057;6.2312;8.4327;6.0786;6.789;9.3356
2022-01-23;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Lenox Hill West;Manhattan - East Village;Manhattan - Clinton East;2941;2478;2431;2314;2249;1.4512;1.3963;1.4401;1.4546;1.4108;9.8468;8.77;9.9768;11.3537;10.8221;8.7743;6.9138;7.882;10.1338;10.3759
2022-01-24;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;4513;4065;2850;2494;2434;1.3315;1.309;1.2832;1.318;1.2946;9.2391;8.8694;9.469;9.5733;9.5735;5.6687;6.7575;7.49;7.0154;8.1056
2022-01-25;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;4946;4677;3345;2791;2719;1.3678;1.3312;1.3303;1.3594;1.3376;9.1932;8.6924;9.4016;9.4168;9.4081;5.6426;5.7695;6.5546;6.1501;6.9027
2022-01-26;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;5450;4959;3680;3189;3049;1.3556;1.3295;1.3269;1.3465;1.305;9.2452;8.6688;9.4587;9.3495;9.3943;5.4676;5.1494;6.7278;6.2629;6.7268
2022-01-27;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;5401;4812;3218;3068;3046;1.329;1.3462;1.3117;1.3299;1.3129;9.6143;9.4325;10.7273;9.8583;10.2801;6.2542;5.8327;7.7235;6.5366;7.1737
2022-01-28;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Upper West Side South;Manhattan - Lenox Hill West;Manhattan - Murray Hill;4780;4079;2947;2872;2702;1.3655;1.3751;1.3604;1.3555;1.3723;9.3478;9.5363;10.045;10.15;11.1947;6.6217;6.5434;6.9748;7.2084;9.1807
2022-01-29;Manhattan - East Village;Manhattan - Clinton East;Manhattan - Lenox Hill West;Manhattan - Upper East Side North;Manhattan - Murray Hill;1273;1085;1032;982;919;1.4085;1.424;1.4244;1.4022;1.4309;9.0075;8.9657;8.4819;8.7976;8.4061;5.0348;7.9064;5.8759;5.2551;6.9796
2022-01-30;Manhattan - Upper East Side North;Manhattan - Lenox Hill West;Manhattan - Upper East Side South;Manhattan - Upper West Side South;Manhattan - Clinton East;2797;2221;2219;2172;2051;1.4576;1.434;1.4511;1.424;1.4417;9.2001;9.5746;8.5391;10.2724;11.2648;7.2102;7.8038;7.0083;8.1757;12.2118
2022-01-31;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;4803;3973;2863;2631;2543;1.3519;1.3315;1.3357;1.3413;1.3795;9.3478;9.2769;9.9702;10.19;10.1473;6.6896;6.8406;7.2197;7.9731;7.3561
2022-02-01;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;5143;4630;2949;2874;2770;1.3304;1.3598;1.275;1.3601;1.374;9.5684;9.7535;10.9699;10.6706;10.4579;6.3851;6.588;7.4105;7.3426;6.8729
2022-02-02;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Upper West Side South;Manhattan - Murray Hill;Manhattan - Lenox Hill West;5143;4569;2835;2779;2752;1.3529;1.3355;1.3457;1.3156;1.3416;9.9608;9.8983;10.6141;12.0084;10.3609;6.6753;6.3765;7.1608;9.832;6.8371
2022-02-03;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Upper West Side South;5437;4808;3836;3274;3182;1.3476;1.3001;1.3285;1.3271;1.335;9.9962;10.1596;9.8095;9.7323;10.5777;6.2561;6.8694;6.6208;7.5176;7.0221
2022-02-04;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Murray Hill;Manhattan - Upper West Side South;Manhattan - Midtown Center;5273;4573;3320;3316;3224;1.3641;1.3431;1.3726;1.3938;1.3579;9.2218;8.5969;9.394;9.9019;9.4412;6.2657;5.6768;7.4105;6.778;6.9625
2022-02-05;Manhattan - Upper East Side North;Manhattan - East Village;Manhattan - Clinton East;Manhattan - Upper East Side South;Manhattan - Upper West Side South;4201;3880;3712;3623;3539;1.4378;1.4956;1.4569;1.4259;1.4631;9.1173;10.745;10.6101;8.499;9.7386;6.3593;7.2676;8.9417;5.968;6.4684
2022-02-06;Manhattan - Upper East Side North;Manhattan - Upper West Side South;Manhattan - Upper East Side South;Manhattan - Clinton East;Manhattan - Lenox Hill West;3312;2726;2704;2683;2665;1.4438;1.438;1.4064;1.4558;1.4109;9.4351;10.2335;8.8772;10.6453;10.1233;7.0084;7.8807;7.1552;9.7416;7.8244
2022-02-07;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lenox Hill West;4877;4302;3381;2696;2642;1.35;1.3326;1.3147;1.3416;1.3278;9.6221;9.3241;10.1167;10.2401;10.2188;6.851;6.1173;8.1622;8.5526;7.3056
2022-02-08;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Murray Hill;5733;5226;4070;3100;3086;1.3536;1.3152;1.3194;1.3261;1.2971;9.4261;9.2104;10.0929;9.8967;10.1549;6.083;5.418;7.304;6.5355;8.0836
2022-02-09;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lenox Hill West;5633;5234;4206;3402;3124;1.3403;1.3252;1.3086;1.351;1.33;9.4237;8.9724;9.7328;9.9074;9.5521;5.6402;6.4396;7.6014;7.7016;6.4929
2022-02-10;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lenox Hill West;5813;5372;4374;3297;3266;1.2931;1.3148;1.3212;1.3488;1.3218;9.6592;8.8806;10.3921;9.9639;9.946;6.0213;5.3079;8.1032;7.4758;6.8081
2022-02-11;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Upper West Side South;5361;4726;3583;3403;3393;1.3693;1.3525;1.3695;1.3544;1.3946;9.53;9.0722;10.494;10.4641;10.5405;6.0283;6.2477;8.7882;8.8366;7.5815
2022-02-12;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - East Village;Manhattan - Clinton East;Manhattan - Lincoln Square East;4237;3910;3782;3753;3499;1.4439;1.4294;1.5042;1.4804;1.4607;9.5084;8.9316;11.4063;12.0781;9.9093;6.7751;6.506;7.317;12.7203;6.9357
2022-02-13;Manhattan - Upper East Side North;Manhattan - Clinton East;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;Manhattan - Lincoln Square East;3537;2875;2832;2795;2621;1.4337;1.4327;1.4492;1.3914;1.4063;9.3496;10.5345;9.7964;10.449;10.0444;7.231;9.7565;8.1986;8.1853;8.2284
2022-02-14;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Lenox Hill West;Manhattan - Upper West Side South;5728;5165;4172;3242;3173;1.3525;1.3793;1.3368;1.3883;1.3558;9.2673;8.7275;9.8913;9.7965;10.0244;6.5736;5.9212;8.2989;7.7659;7.7833
2022-02-15;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Upper West Side South;5989;5445;4614;3335;3162;1.345;1.3366;1.3117;1.2915;1.3517;9.665;8.8213;9.8533;9.9987;10.627;5.9866;5.7389;7.5549;8.1121;7.6163
2022-02-16;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Lenox Hill West;5811;5250;4598;3382;3208;1.3631;1.3526;1.338;1.3619;1.3108;9.5768;8.9278;10.0382;9.9808;9.6111;5.9625;5.9309;7.4642;7.9486;6.5648
2022-02-17;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Upper West Side South;5398;5156;4401;3497;3156;1.3516;1.3309;1.3002;1.3474;1.3682;9.5552;8.934;10.1412;9.8985;10.4979;6.0813;6.0768;8.9304;7.5237;7.4992
2022-02-18;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Midtown Center;Manhattan - Murray Hill;Manhattan - Upper West Side South;4832;4486;3606;3451;3370;1.3843;1.3593;1.3982;1.3903;1.3908;9.6442;8.9894;10.4104;10.7986;10.739;6.564;6.1663;8.8248;11.111;8.3108
2022-02-19;Manhattan - Clinton East;Manhattan - East Village;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side North;Manhattan - East Chelsea;4140;3732;3644;3395;3190;1.5048;1.5426;1.6671;1.4495;1.4931;11.6696;10.4221;13.4934;9.5609;10.3977;10.7379;7.559;12.3827;6.9712;8.3545
2022-02-20;Manhattan - Clinton East;Manhattan - Times Sq/Theatre District;Manhattan - Upper East Side North;Manhattan - East Chelsea;Manhattan - East Village;3466;3034;2871;2834;2776;1.498;1.6302;1.4706;1.488;1.5166;11.391;12.367;10.131;10.6428;10.5949;10.2642;11.6192;7.9187;8.961;8.0188
2022-02-21;Manhattan - Upper East Side North;Manhattan - Upper East Side South;Manhattan - Clinton East;Manhattan - Midtown Center;Manhattan - Lenox Hill West;3182;2950;2583;2534;2398;1.3913;1.3868;1.4584;1.4515;1.3878;10.001;8.9876;12.1641;9.8189;11.1088;8.3376;7.6853;12.6084;8.9606;9.9884
